features,latency_ms,cpu_mem_bytes,gpu_mem_bytes
10,0.0977870007045567,4096,0
50,0.14122666713471213,0,0
100,0.12869066636388501,20480,0
200,0.13936166651546955,102400,0
500,0.30008766644944745,40960,0
1000,0.2725879995462795,999424,0
